NU_ANO_CENSO,TP_RESPONSAVEL_REGULAMENTACAO,NO_ENTIDADE,NO_MUNICIPIO,DS_ENDERECO,NU_ENDERECO,NO_BAIRRO,QT_MAT_INF_CRE
2021,3.0,ESCOLA MUNICIPAL PAPA JOAO XXIII,Fortaleza,RUA TREZE DE ABRIL,545,VILA UNIAO,151.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR JOSE SOBREIRA DE AMORIM,Fortaleza,RUA ESTRADA DO PICI,1083,HENRIQUE JORGE,157.0
2021,3.0,ESCOLA MUNICIPAL JOSE AYRTON TEIXEIRA,Fortaleza,RUA ALFREDO MAMEDE,S N,NOVO MONDUBIM,76.0
2021,3.0,ESCOLA MUNICIPAL JOSE DIAS MACEDO,Fortaleza,RUA NUNES VALENTE,809,MEIRELES,107.0
2021,3.0,ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO,Fortaleza,AVENIDA DA ABOLICAO,3984,MUCURIPE,152.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR JOSE REBOUCAS MACAMBIRA,Fortaleza,RUA CARIUS,200,JARDIM GUANABARA,81.0
2021,3.0,ESCOLA MUNICIPAL DOM JOSE TUPINAMBA DA FROTA,Fortaleza,RUA VIRIATO RIBEIRO,1031,BELA VISTA,116.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR JOSE VALDEVINO DE CARVALHO,Fortaleza,RUA GUARA,S N,PARANGABA,147.0
2021,3.0,ESCOLA MUNICIPAL MONSENHOR LINHARES,Fortaleza,RUA PROFESSOR LINO ENCARNACAO,,AMADEU FURTADO,64.0
2021,3.0,ESCOLA MUNICIPAL MARIA DE JESUS ORIA ALENCAR,Fortaleza,RUA 43,S N,JANGURUSSU,131.0
2021,3.0,ESCOLA MUNICIPAL MARIA DE LOURDES RIBEIRO JEREISSATI,Fortaleza,RUA REINO UNIDO,115,JARDIM DAS OLIVEIRAS,100.0
2021,3.0,ESCOLA MUNICIPAL PROFESSORA MARIA GONDIM DOS SANTOS,Fortaleza,TRAVESSA GUARANI,620,PAPICU,88.0
2021,3.0,ESCOLA MUNICIPAL MARIA HELENILCE CAVALCANTE LEITE MARTINS,Fortaleza,RUA MAIZA,S N,CONJUNTO PALMEIRAS,120.0
2021,3.0,ESCOLA MUNICIPAL PROFESSORA MARIA STELLA COCHRANE SANTIAGO,Fortaleza,RUA ANTONIO FARIAS,121,BOA VISTA,262.0
2021,3.0,ESCOLA MUNICIPAL MARIA VIVIANE BENEVIDES GOUVEIA,Fortaleza,RUA CREUZA ROQUE,247,MANUEL SATIRO,186.0
2021,3.0,ESCOLA MUNICIPAL MARIA ZELIA CORREIA DE SOUZA,Fortaleza,RUA ANTONIO PEREIRA,1495,PLANALTO AYRTON SENNA,92.0
2021,3.0,ESCOLA MUNICIPAL GENERAL MANOEL CORDEIRO NETO,Fortaleza,RUA JORGE ACURCIO,900,VILA UNIAO,88.0
2021,3.0,ESCOLA MUNICIPAL MARIETA CALS,Fortaleza,RUA VALPARAISO,160,CONJUNTO PALMEIRAS,169.0
2021,3.0,ESCOLA MUNICIPAL MARTHA DOS MARTINS COELHO GUILHERME,Fortaleza,RUA 313,243,JANGURUSSU,148.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR MARTINZ DE AGUIAR,Fortaleza,RUA BERNARDO PORTO,470,MONTE CASTELO,60.0
2021,3.0,ESCOLA MUNICIPAL PARQUE SAO MIGUEL,Fortaleza,RUA LOURDES VIDAL ALVES,444,LAGOA REDONDA,197.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR MONTEIRO DE MORAES,Fortaleza,AVENIDA EVILASIO ALMEIDA MIRANDA,1608,SAPIRANGA,235.0
2021,3.0,ESCOLA MUNICIPAL MOURA BRASIL,Fortaleza,RUA PADRE MORORO,189,MOURA BRASIL,55.0
2021,3.0,ESCOLA MUNICIPAL MURILO AGUIAR,Fortaleza,RUA VINTE E QUATRO DE OUTUBRO,S N,PARQUE GENIBAU,100.0
2021,3.0,ESCOLA MUNICIPAL NARCISA BORGES,Fortaleza,TRAVESSA COSTA RICA,S N,PADRE ANDRADE,73.0
2021,3.0,ESCOLA MUNICIPAL PROJETO NASCENTE,Fortaleza,RUA BETEL,S N,DENDE,209.0
2021,3.0,ESCOLA MUNICIPAL PAULO SARASATE,Fortaleza,RUA PEDRO MUNIZ,250,DEMOCRITO ROCHA,122.0
2021,3.0,ESCOLA MUNICIPAL RACHEL VIANA MARTINS,Fortaleza,RUA TUCUNDUBA,2703,GRANJA LISBOA,75.0
2021,3.0,ESCOLA MUNICIPAL RACHEL DE QUEIROZ,Fortaleza,AVENIDA C,S N,PREFEITO JOSE WALTER,94.0
2021,3.0,ESCOLA MUNICIPAL ROGACIANO LEITE,Fortaleza,RUA 45,S N,PREFEITO JOSE WALTER,94.0
