NU_ANO_CENSO,TP_RESPONSAVEL_REGULAMENTACAO,NO_ENTIDADE,NO_MUNICIPIO,DS_ENDERECO,NU_ENDERECO,NO_BAIRRO,QT_MAT_INF_CRE
2021,3.0,ESCOLA MUNICIPAL ODILON GONZAGA BRAVEZA,Fortaleza,AVENIDA ALBERTO CRAVEIRO,1480 C,BOA VISTA,111.0
2021,3.0,PROGRAMA INTEGRACAO JANGURUSSU,Fortaleza,AVENIDA GOVERNADOR LEONEL BRIZOLA,S N,JANGURUSSU,
2021,3.0,PROGRAMA INTEGRACAO MONDUBIM,Fortaleza,RUA PROFESSOR GLAUCO LOBO,S N,NOVO MONDUBIM,
2021,3.0,PROGRAMA INTEGRACAO BARRA DO CEARA,Fortaleza,AVENIDA PRESIDENTE CASTELO BRANCO,6417,BARRA DO CEARA,
2021,3.0,PROGRAMA INTEGRACAO AABB,Fortaleza,AVENIDA BARAO DE STUDART,2917,DIONISIO TORRES,
2021,3.0,ESCOLA MUNICIPAL SAO RAFAEL,Fortaleza,RUA DOS TABAJARAS,244,PRAIA DE IRACEMA,19.0
2021,3.0,ESCOLA MUNICIPAL MARIA ALICE,Fortaleza,RUA PAULO MORAIS,95,PAPICU,141.0
2021,3.0,ESCOLA MUNICIPAL JOSE CARLOS DA COSTA RIBEIRO,Fortaleza,RUA PIO SARAIVA,335,QUINTINO CUNHA,127.0
2021,3.0,ESCOLA MUNICIPAL DOIS DE DEZEMBRO,Fortaleza,RUA ARAQUEM,860,BARRA DO CEARA,80.0
2021,3.0,ESCOLA MUNICIPAL CRESCER E APRENDER,Fortaleza,RUA EDSON MARTINS,642,BOM JARDIM,38.0
2021,3.0,PROGRAMA INTEGRACAO FACULDADE GRANDE FORTALEZA,Fortaleza,AVENIDA PORTO VELHO,401,HENRIQUE JORGE,
2021,3.0,PROGRAMA INTEGRACAO ASSOCIACAO VOAR,Fortaleza,RUA JOSE BARRETO PARENTE,331,ENGENHEIRO LUCIANO CAVALCANTE,
2021,3.0,PROGRAMA INTEGRACAO CENTRO CULTURAL BOM JARDIM,Fortaleza,RUA TRES CORACOES,400,GRANJA LISBOA,
2021,3.0,PROGRAMA PRO-TECNICO PRAIA DO FUTURO,Fortaleza,RUA OLIVEIRA FILHO,3320,ANTONIO DIOGO,
2021,3.0,PROGRAMA PRO-TECNICO JOAO XXIII,Fortaleza,RUA MELO OLIVEIRA,985,JOQUEI CLUBE,
2021,3.0,PROGRAMA PRO-TECNICO LUCIANO CARNEIRO,Fortaleza,AVENIDA LUCIANO CARNEIRO,2123,VILA UNIAO,
2021,3.0,ESCOLA MUNICIPAL PATATIVA DO ASSARE,Fortaleza,RUA FREI TEOBALDO,646,ALVARO WEYNE,56.0
2021,3.0,ESCOLA MUNICIPAL SANTOS DUMONT,Fortaleza,RUA GERALDO BARBOSA,240,BOM JARDIM,93.0
2021,3.0,ESCOLA MUNICIPAL DEPUTADO GERONCIO BEZERRA,Fortaleza,TRAVESSA MANUEL NUNES,42,ANTONIO BEZERRA,96.0
2021,3.0,ESCOLA MUNICIPAL 15 DE OUTUBRO,Fortaleza,RUA GUARANI,2030,BONSUCESSO,195.0
2021,3.0,PROGRAMA PRO-TECNICO MESSEJANA,Fortaleza,RUA CORONEL DIONISIO ALENCAR,213,MESSEJANA,
2021,3.0,PROGRAMA INTEGRACAO KATIANA PENA,Fortaleza,RUA MIRTES CORDEIRO,3147,GRANJA LISBOA,
2021,3.0,PROGRAMA INTEGRACAO ABEMCE,Fortaleza,RUA COMENDADOR GARCIA,1817,PARQUE SAO JOSE,
2021,3.0,INTEGRACAO IDIOMAS - IMPARH,Fortaleza,AVENIDA JOAO PESSOA,5609,MONTESE,
2021,3.0,ESCOLA MUNICIPAL PROFESSOR JOSE FERREIRA DE ALENCAR,Fortaleza,RUA SAO FRANCISCO DO JARDIM,557,BOM JARDIM,96.0
2021,3.0,ESCOLA MUNICIPAL TERTULIANO CAMBRAIA,Fortaleza,RUA MONSENHOR ROSA,946,CARLITO PAMPLONA,119.0
2021,3.0,ESCOLA MUNICIPAL INFANTE ROSALINA RODRIGUES,Fortaleza,AVENIDA II,700,PARQUE DOIS IRMAOS,214.0
2021,3.0,ESCOLA MUNICIPAL JORNALISTA JOSE BLANCHARD GIRAO DA SILVA,Fortaleza,TRAVESSA MISSIONARIO OLIVEIRA,301,JANGURUSSU,243.0
2021,3.0,ESCOLA MUNICIPAL PROFESSORA MARIA ANTONEZIA MEIRELES E SA,Fortaleza,RUA CORONEL VIRGILIO TAVORA,1340,BARROSO,40.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR MANUEL EDUARDO PINHEIRO CAMPOS,Fortaleza,RUA MIRIU,500,SABIAGUABA,83.0
2021,3.0,ESCOLA MUNICIPAL PROFESSORA ANTONIA MARIA DE LIMA,Fortaleza,RUA SARGENTO JOAO PINHEIRO,2601,GRANJA LISBOA,91.0
2021,3.0,ESCOLA MUNICIPAL JOAO NOGUEIRA JUCA,Fortaleza,RUA B,10,COACU,101.0
2021,3.0,ESCOLA MUNICIPAL BERGSON GURJAO FARIAS,Fortaleza,AVENIDA SENADOR FERNANDES TAVORA,2500,HENRIQUE JORGE,58.0
2021,3.0,ESCOLA MUNICIPAL SECRETARIO PAULO PETROLA,Fortaleza,AVENIDA SARGENTO HERMINIO,415,MONTE CASTELO,185.0
2021,3.0,ESCOLA MUNICIPAL DOM ALOISIO LORSCHEIDER,Fortaleza,RUA JULIO SILVA,400,DE LOURDES,75.0
